id;Name;Movies;webLink;netflixLink
40009240;"Martin Hodara";"["80184770"]";https://turflix.com/p/martin-hodara-40009240;https://www.netflix.com/browse/m/person/40009240
20031380;"Ricardo Darin";"["80184770"]";https://turflix.com/p/ricardo-darin-20031380;https://www.netflix.com/browse/m/person/20031380
20028436;"Leonardo Sbaraglia";"["80184770", "80990327", "80148920", "80103424", "80168028"]";https://turflix.com/p/leonardo-sbaraglia-20028436;https://www.netflix.com/browse/m/person/20028436
30189185;"Fernando Gonzalez Molina";"["80990328", "80173176", "80990327"]";https://turflix.com/p/fernando-gonzalez-molina-30189185;https://www.netflix.com/browse/m/person/30189185
30035092;"Marta Etura";"["80173176", "80990327"]";https://turflix.com/p/marta-etura-30035092;https://www.netflix.com/browse/m/person/30035092
30069933;"Alberto Rodriguez";"["80121843"]";https://turflix.com/p/alberto-rodriguez-30069933;https://www.netflix.com/browse/m/person/30069933
20062547;"Eduard Fernandez";"["80121843"]";https://turflix.com/p/eduard-fernandez-20062547;https://www.netflix.com/browse/m/person/20062547
20023217;"Emma Suarez";"["81020523", "80173605"]";https://turflix.com/p/emma-suarez-20023217;https://www.netflix.com/browse/m/person/20023217
60042016;"Dennis Rovira Van Boekholt";"["81038598"]";https://turflix.com/p/dennis-rovira-van-boekholt-60042016;https://www.netflix.com/browse/m/person/60042016
30149754;"Manuela Velles";"["81038598", "80018046"]";https://turflix.com/p/manuela-velles-30149754;https://www.netflix.com/browse/m/person/30149754
30028704;"Ivana Baquero";"["80233258"]";https://turflix.com/p/ivana-baquero-30028704;https://www.netflix.com/browse/m/person/30028704
30155665;"Austin Butler";"["80084164"]";https://turflix.com/p/austin-butler-30155665;https://www.netflix.com/browse/m/person/30155665
30208671;"Poppy Drayton";"["80084164"]";https://turflix.com/p/poppy-drayton-30208671;https://www.netflix.com/browse/m/person/30208671
40118395;"Chris Bouchard";"["80166319"]";https://turflix.com/p/chris-bouchard-40118395;https://www.netflix.com/browse/m/person/40118395
40172344;"Blake Harris";"["80166319", "81312869"]";https://turflix.com/p/blake-harris-40172344;https://www.netflix.com/browse/m/person/40172344
50030144;"Emily Carey";"["81312869"]";https://turflix.com/p/emily-carey-50030144;https://www.netflix.com/browse/m/person/50030144
20060232;"Brandon Routh";"["81312869", "70041963"]";https://turflix.com/p/brandon-routh-20060232;https://www.netflix.com/browse/m/person/20060232
30016036;"Maria Bamford";"["80046193", "80162994"]";https://turflix.com/p/maria-bamford-30016036;https://www.netflix.com/browse/m/person/30016036
30075643;"Nick Kroll";"["80117038"]";https://turflix.com/p/nick-kroll-30075643;https://www.netflix.com/browse/m/person/30075643
30111993;"Chris Renaud";"["81044813", "70264803", "70208102"]";https://turflix.com/p/chris-renaud-30111993;https://www.netflix.com/browse/m/person/30111993
30111992;"Pierre Coffin";"["70115629", "70264803", "80033394"]";https://turflix.com/p/pierre-coffin-30111992;https://www.netflix.com/browse/m/person/30111992
30011713;"Steve Carell";"["70264803", "81021929", "80999013"]";https://turflix.com/p/steve-carell-30011713;https://www.netflix.com/browse/m/person/30011713
20051005;"Judd Apatow";"["70028904", "70244168"]";https://turflix.com/p/judd-apatow-20051005;https://www.netflix.com/browse/m/person/20051005
80591;"Paul Rudd";"["70244168", "80119233", "80097349", "80178724"]";https://turflix.com/p/paul-rudd-80591;https://www.netflix.com/browse/m/person/80591
23792;"Ted Demme";"["70084800", "80195838"]";https://turflix.com/p/ted-demme-23792;https://www.netflix.com/browse/m/person/23792
20000960;"Denis Leary";"["80195838"]";https://turflix.com/p/denis-leary-20000960;https://www.netflix.com/browse/m/person/20000960
30107894;"Marc Webb";"["70208599", "70293702"]";https://turflix.com/p/marc-webb-30107894;https://www.netflix.com/browse/m/person/30107894
30090952;"Andrew Garfield";"["70293702"]";https://turflix.com/p/andrew-garfield-30090952;https://www.netflix.com/browse/m/person/30090952
30090437;"Emma Stone";"["70293702", "80124522"]";https://turflix.com/p/emma-stone-30090437;https://www.netflix.com/browse/m/person/30090437
30107211;"Will Gluck";"["70123920", "70167075", "80201039"]";https://turflix.com/p/will-gluck-30107211;https://www.netflix.com/browse/m/person/30107211
20014431;"Justin Timberlake";"["70167075", "80127559", "80185876"]";https://turflix.com/p/justin-timberlake-20014431;https://www.netflix.com/browse/m/person/20014431
23791;"Jonathan Demme";"["80127559"]";https://turflix.com/p/jonathan-demme-23791;https://www.netflix.com/browse/m/person/23791
11637250;"Jake Kasdan";"["70141587", "80192646", "70301476"]";https://turflix.com/p/jake-kasdan-11637250;https://www.netflix.com/browse/m/person/11637250
30055587;"Dwayne Johnson";"["80192646", "70044599", "81073022", "80216309", "60020549", "70259171", "70140907", "80027980"]";https://turflix.com/p/dwayne-johnson-30055587;https://www.netflix.com/browse/m/person/30055587
80839;"Chuck Russell";"["60022643", "70027007"]";https://turflix.com/p/chuck-russell-80839;https://www.netflix.com/browse/m/person/80839
14771;"Jim Carrey";"["70027007", "215318", "70018296", "60000901", "70021643", "1152469", "60034545", "80209608"]";https://turflix.com/p/jim-carrey-14771;https://www.netflix.com/browse/m/person/14771
20008566;"Peyton Reed";"["70100379", "70042688"]";https://turflix.com/p/peyton-reed-20008566;https://www.netflix.com/browse/m/person/20008566
187002;"Vince Vaughn";"["70042688", "70113669"]";https://turflix.com/p/vince-vaughn-187002;https://www.netflix.com/browse/m/person/187002
8245;"Peter Billingsley";"["70113669"]";https://turflix.com/p/peter-billingsley-8245;https://www.netflix.com/browse/m/person/8245
20017881;"Jason Bateman";"["70113669", "80114788", "70254521", "81079259", "70058013", "80117552"]";https://turflix.com/p/jason-bateman-20017881;https://www.netflix.com/browse/m/person/20017881
30057068;"Will Speck";"["80114788"]";https://turflix.com/p/will-speck-30057068;https://www.netflix.com/browse/m/person/30057068
30057069;"Josh Gordon";"["80114788"]";https://turflix.com/p/josh-gordon-30057069;https://www.netflix.com/browse/m/person/30057069
30090398;"Olivia Munn";"["80114788", "80227754"]";https://turflix.com/p/olivia-munn-30090398;https://www.netflix.com/browse/m/person/30090398
20012658;"Scott Derrickson";"["70299902", "70032591"]";https://turflix.com/p/scott-derrickson-20012658;https://www.netflix.com/browse/m/person/20012658
55512;"Laura Linney";"["70032591", "80182949", "80103102", "80211563", "81121055", "80117552"]";https://turflix.com/p/laura-linney-55512;https://www.netflix.com/browse/m/person/55512
30112258;"Jennifer M Kroot";"["80182949"]";https://turflix.com/p/jennifer-m-kroot-30112258;https://www.netflix.com/browse/m/person/30112258
30048074;"Armistead Maupin";"["80182949"]";https://turflix.com/p/armistead-maupin-30048074;https://www.netflix.com/browse/m/person/30048074
30011284;"Neil Gaiman";"["80182949"]";https://turflix.com/p/neil-gaiman-30011284;https://www.netflix.com/browse/m/person/30011284
20000305;"Ian Mckellen";"["80182949", "60004483", "60004484", "60004480"]";https://turflix.com/p/ian-mckellen-20000305;https://www.netflix.com/browse/m/person/20000305
43453;"Ron Howard";"["70035186", "80107552", "60000901", "80017529", "81071970", "70253165", "70103523"]";https://turflix.com/p/ron-howard-43453;https://www.netflix.com/browse/m/person/43453
39020;"Tom Hanks";"["80107552", "60000724", "80103102", "60020683", "70103523"]";https://turflix.com/p/tom-hanks-39020;https://www.netflix.com/browse/m/person/39020
20036445;"Paul Greengrass";"["81210670", "80210932", "60036239", "80049928", "70058031", "70114023"]";https://turflix.com/p/paul-greengrass-20036445;https://www.netflix.com/browse/m/person/20036445
40221522;"Jonas Strand Gravli";"["80210932", "80232926"]";https://turflix.com/p/jonas-strand-gravli-40221522;https://www.netflix.com/browse/m/person/40221522
60015857;"David Stakston";"["80232926"]";https://turflix.com/p/david-stakston-60015857;https://www.netflix.com/browse/m/person/60015857
60015858;"Herman Toemmeraas";"["80232926"]";https://turflix.com/p/herman-toemmeraas-60015858;https://www.netflix.com/browse/m/person/60015858
60079707;"Theresa Frostad Eggesboe";"["80232926"]";https://turflix.com/p/theresa-frostad-eggesboe-60079707;https://www.netflix.com/browse/m/person/60079707
60384539;"Danu Sunth";"["80232926"]";https://turflix.com/p/danu-sunth-60384539;https://www.netflix.com/browse/m/person/60384539
60015859;"Emma Bones";"["80232926"]";https://turflix.com/p/emma-bones-60015859;https://www.netflix.com/browse/m/person/60015859
30170156;"Henriette Steenstrup";"["80232926"]";https://turflix.com/p/henriette-steenstrup-30170156;https://www.netflix.com/browse/m/person/30170156
40171739;"Gisli Oern Gararsson";"["80232926"]";https://turflix.com/p/gisli-oern-gararsson-40171739;https://www.netflix.com/browse/m/person/40171739
30163603;"Synnoeve Macody Lund";"["80232926"]";https://turflix.com/p/synnoeve-macody-lund-30163603;https://www.netflix.com/browse/m/person/30163603
50035560;"Ylva Thedin Bjoerkaas";"["80232926"]";https://turflix.com/p/ylva-thedin-bjoerkaas-50035560;https://www.netflix.com/browse/m/person/50035560
60079735;"Odd Magnus Williamson";"["80232926"]";https://turflix.com/p/odd-magnus-williamson-60079735;https://www.netflix.com/browse/m/person/60079735
20037184;"Eli Anne Linnestad";"["80232926"]";https://turflix.com/p/eli-anne-linnestad-20037184;https://www.netflix.com/browse/m/person/20037184
30004998;"Bjoern Sundquist";"["80232926"]";https://turflix.com/p/bjoern-sundquist-30004998;https://www.netflix.com/browse/m/person/30004998
30127380;"Benjamin Helstad";"["80232926", "81019792"]";https://turflix.com/p/benjamin-helstad-30127380;https://www.netflix.com/browse/m/person/30127380
40009520;"Ine Marie Wilmann";"["81019792"]";https://turflix.com/p/ine-marie-wilmann-40009520;https://www.netflix.com/browse/m/person/40009520
60049218;"Bjoernar Teigen";"["81019792"]";https://turflix.com/p/bjoernar-teigen-60049218;https://www.netflix.com/browse/m/person/60049218
40095118;"Emma Spetalen Magnusson";"["81019792"]";https://turflix.com/p/emma-spetalen-magnusson-40095118;https://www.netflix.com/browse/m/person/40095118
60030407;"Erlend Roedal Vikhagen";"["81019792"]";https://turflix.com/p/erlend-roedal-vikhagen-60030407;https://www.netflix.com/browse/m/person/60030407
30180476;"Harald Rosenstroem";"["81019792"]";https://turflix.com/p/harald-rosenstroem-30180476;https://www.netflix.com/browse/m/person/30180476
30179626;"Dagny Backer Johnsen";"["81019792"]";https://turflix.com/p/dagny-backer-johnsen-30179626;https://www.netflix.com/browse/m/person/30179626
60030408;"Stig Amdam";"["81019792"]";https://turflix.com/p/stig-amdam-60030408;https://www.netflix.com/browse/m/person/60030408
60049208;"Numa Edema Norderhaug";"["81019792"]";https://turflix.com/p/numa-edema-norderhaug-60049208;https://www.netflix.com/browse/m/person/60049208
60030406;"Ellen Bendu";"["81019792"]";https://turflix.com/p/ellen-bendu-60030406;https://www.netflix.com/browse/m/person/60030406
